cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
HGC-27	HGC-27	CVCL_1279	HGC-27 cell	Homo Sapiens	Stomach	Lymph node	not available	not available	not available	Japanese	Gastric carcinoma	not available	cell	HGC27; HGC 27	curated
HH	HH [Human lymphoma]	CVCL_1280	not available	Homo Sapiens	Blood	Peripheral blood	61Y	Adult	Male	Caucasian	Primary cutaneous t-cell non-hodgkin lymphoma	T cell	cell	HH	curated
HLE	HLE	CVCL_1281	hepatoma HLE cell	Homo Sapiens	Liver	Liver	68Y	Elderly	Male	Japanese	Adult hepatocellular carcinoma	epithelial cell	cell	HLE CELL; HUMAN HEPATOMA CELL LINE	curated
HMV-II	HMV-II	CVCL_1282	HMV-II cell	Homo Sapiens	Skin	Vagina	65Y	Elderly	Female	Japanese	Vaginal melanoma	not available	cell	HUMAN MELANOMA VAGINA-II; HMVII CELL; HMV-2; HMVII	curated
HO-1-N-1	HO-1-N-1	CVCL_1284	HO-1-N-1 cell	Homo Sapiens	mouth	Buccal mucosa	not available	not available	Male	Japanese	Buccal mucosa squamous cell carcinoma	not available	cell	NAKATA-1; HO-1-N-1; HO1-N-1; HO1-N1; HO1N1	curated
HOP-62	HOP-62	CVCL_1285	HOP-62 cell	Homo Sapiens	Lung	Lung	6Y	Children	Female	Caucasian	Lung adenocarcinoma	not available	cell	HOP62 CELL; HOP 62; HOPKINS-62; HOP.62; HOP62	curated
HOP-92	HOP-92	CVCL_1286	HOP-92 cell	Homo Sapiens	Lung	Lung	62Y	Adult	Male	Caucasian	Non-small cell lung carcinoma	not available	cell	HOP92; HOP92 CELL; HOP.92; HOPKINS-92; HOP 92	curated
HSC-2	HSC-2	CVCL_1287	HSC-2 cell	Homo Sapiens	Head and Neck	Cervical lymph node; Mouth	69Y	Elderly	Male	Japanese	Oral cavity squamous cell carcinomay carcinoma	not available	cell	HSC2	curated
HSC-3	HSC-3	CVCL_1288	HSC-3 cell	Homo Sapiens	Mouth	Cervical lymph node; Tongue	64Y	Adult	Male	Japanese	Tongue squamous cell carcinoma	not available	cell	HSC3; HSC 3	curated
HSC-4	HSC-4	CVCL_1289	HSC-4 cell	Homo Sapiens	Mouth	Cervical lymph node; Tongue	64Y	Adult	Male	Japanese	Tongue squamous cell carcinoma	not available	cell	HSC4	curated
HT-1197	HT-1197	CVCL_1291	HT-1197 cell	Homo Sapiens	Bladder	Urinary bladder	44Y	Adult	Male	Caucasian	Urinary bladder carcinoma	not available	cell	HT 1197; HT 1197 CELL; HT 1197.T; HT1197; HT1197 CELL	curated
HT-1376	HT-1376	CVCL_1292	HT-1376 cell	Homo Sapiens	Bladder	Urinary bladder	58Y	Adult	Female	Caucasian	Bladder carcinoma	not available	cell	HT 1376; HT1376 CELL; HT 1376.T; HT1376	curated
HT-3	HT-3	CVCL_1293	not available	Homo Sapiens	Cervix	Lymph node	58Y	Adult	Female	Caucasian	Cervical carcinoma	not available	cell	HT3	curated
HT55	HT-55	CVCL_1294	not available	Homo Sapiens	Large Intestine	Rectum	54Y	Adult	not available	Caucasian	Colorectal carcinoma	not available	cell	HT55	curated
HTC-C3	HTC-C3	CVCL_1295	HTC-C3 cell	Homo Sapiens	Thyroid	Pleural effusion; Pleural fluid	44Y	Adult	Female	Japanese	Thyroid gland undifferentiated (anaplastic) carcinoma	not available	cell	HTCC3 CELL; HTCC3; HTC C3 CELL; HTC C3; HTC/C3	curated
HUH-6-clone5	HuH-6 Clone 5	CVCL_1296	not available	Homo Sapiens	Liver	Liver	1Y	Infant	Male	Japanese	Hepatoblastoma	not available	cell	HUH-6-CLONE5; JTC-38; HUH6C15; HUH-6-CLONE 5; HUH6CL5; HUH6CLONE5; HUH6 C15; HUH6-CL-5; HUH-6 CL-5; JTC38; HUH-6 CLONE-5; HUH-6-CL5; HUH6-CL5; HUH-6 CLONE 5; JAPANESE TISSUE CULTURE-38; HUH-6 CL5; HUH6-C15; HUH6 CL5	curated
HuO-3N1	HuO-3N1	CVCL_1297	HuO-3N1 cell	Homo Sapiens	Bone	Ilium	15Y	Juvenile	Female	Japanese	Osteosarcoma	not available	cell	HUO3N1	curated
HuO9	HuO9	CVCL_1298	not available	Homo Sapiens	Bone	Right distal femur	13Y	Juvenile	Female	Japanese	Osteosarcoma	not available	cell	HU09; HUO9	curated
HuP-T3	HuP-T3	CVCL_1299	HUP-T3 cell	Homo Sapiens	Pancreas	Ascites	66Y	Elderly	Male	Japanese	Pancreatic adenocarcinoma	not available	cell	HU-P-T3; HUPT3 CELL; HUP-T3; HUP-T3 CELL; HUPT3	curated
HuP-T4	HuP-T4	CVCL_1300	not available	Homo Sapiens	Pancreas	Ascites	60Y	Adult	Male	Japanese	Pancreatic adenocarcinoma	not available	cell	HUP-T4; HU-P-T4; HUPT4	curated
HuTu-80	HuTu 80	CVCL_1301	HuTu-80 cell	Homo Sapiens	Small Intestine	Duodenum	53Y	Adult	Male	White	Duodenal adenocarcinoma	not available	cell	HUTU80; HUTU-80; HUTU 80; HUTU80 CELL; HUTU 80 CELL	curated
IA-LM	IA-LM	CVCL_1302	not available	Homo Sapiens	Lung	Skin	68Y	Elderly	Male	Japanese	Lung large cell carcinoma	not available	cell	IALM	curated
IGR-1	IGR-1	CVCL_1303	not available	Homo Sapiens	Skin	Groin lymph node; Inguinal lymph node	42Y	Adult	Male	Caucasian	Cutaneous melanoma	not available	cell	IGR 1; IGR1; INSTITUT GUSTAVE ROUSSY-1	curated
IGROV-1	IGROV-1	CVCL_1304	IGROV-1 cell	Homo Sapiens	Ovary	Ovary	47Y	Adult	Female	Caucasian	Ovarian endometrioid adenocarcinoma	not available	cell	OV1-P; OV1/P; IGROV; IGROV-1; IGROV1 CELL; IGROV1; IGR-OV1; IGROV 1; IGR.OV1	curated
IM-9	IM-9	CVCL_1305	IM-9 cell	Homo Sapiens	Blood	Peripheral blood; Bone marrow	not available	not available	Female	Caucasian	Non-cancerous	not available	cell	GM04680; IM9; IM 9; IM9 CELL	curated
IMR-5	IMR-5	CVCL_1306	IMR-5 cell	Homo Sapiens	Peripheral Nervous System	Abdominal mass; Abdomen	1Y	Infant	Male	Caucasian	Neuroblastoma	not available	cell	IMR 5 CELL; IMR-05; IMR5; IMR5 CELL; IMR 5; INSTITUTE FOR MEDICAL RESEARCH-5	curated
IPC-298	IPC-298	CVCL_1307	IPC-298 cell	Homo Sapiens	Skin	Skin	64Y	Adult	Female	Caucasian	Cutaneous melanoma	not available	cell	IPC 298; IPC298 CELL; IPC298	curated
IST-MEL1	IST-MEL1	CVCL_1308	not available	Homo Sapiens	Skin	Skin	not available	Adult	Male	Caucasian	Melanoma	not available	cell	ISTMEL1; ISTITUTO SCIENTIFICO TUMORI-MELANOMA 1	curated
IST-MES1	IST-Mes1	CVCL_1311	not available	Homo Sapiens	Lung	Pleural effusion	70Y	Elderly	Female	Caucasian	Pleural epithelioid mesothelioma	not available	cell	IST-MES1; ISTITUTO SCIENTIFICO TUMORI-MESOTHELIOMA 1; ISTMES1; IST-MES-1	curated
IST-MES-2	IST-Mes2	CVCL_1312	not available	Homo Sapiens	Lung	Pleural effusion	71Y	Elderly	Male	Caucasian	Pleural epithelioid mesothelioma	not available	cell	ISTITUTO SCIENTIFICO TUMORI-MESOTHELIOMA 2; IST-MES-2; IST-MES2; ISTMES2	curated
IST-SL1	IST-SL1	CVCL_1313	not available	Homo Sapiens	Lung	Supraclavicular lymph node	60Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	ISTSL1; ISTITUTO SCIENTIFICO TUMORI-SMALL CELL LUNG 1; IST SL1	curated
IST-SL2	IST-SL2	CVCL_1314	not available	Homo Sapiens	Lung	Pleural effusion	not available	not available	Male	Caucasian	Small cell lung carcinoma	not available	cell	IST SL2; ISTSL2; ISTITUTO SCIENTIFICO TUMORI-SMALL CELL LUNG 2	curated
J-RT3-T3-5	J.RT3-T3.5	CVCL_1316	not available	Homo Sapiens	Blood	Peripheral blood	14Y	Juvenile	Male	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	JURKAT RT3-T3.5; JURKAT/RT3-T3.5; JRT3T3.5; JRT3-T3.5; J.RT3/T3.5; J-RT3-T3-5; JRT3T35	curated
JiyoyeP-2003	Jiyoye	CVCL_1317	not available	Homo Sapiens	Ascites	Ascites	7Y	Children	Male	African; Nigerian	Burkitt lymphoma	B cell	cell	OB2; P-3-JIJOYE; JIYOYEP2003; JIYOYEP-2003; JIYOYE; P-2003; JIYOYE (P-2003); GM04678; JIYOYE(P-2003); P3-JIYOYE; P3J; JIJOYE; P3 (JIYOYE); P-3J	curated
JVM-2	JVM-2	CVCL_1319	not available	Homo Sapiens	Blood	Peripheral blood	63Y	Adult	Female	Caucasian	Mantle cell lymphoma	not available	cell	JVM2	curated
JVM-3	JVM-3	CVCL_1320	JVM-3 cell	Homo Sapiens	Blood	Peripheral blood	73Y	Elderly	Male	Caucasian	B-cell prolymphocytic leukemia	not available	cell	JVM3; JVM3 CELL	curated
K052	KO52	CVCL_1321	not available	Homo Sapiens	Bone Marrow	Bone marrow	46Y	Adult	Male	Japanese	Acute myeloid leukemia	not available	cell	K052; K-052; KO52	curated
KALS-1	KALS-1	CVCL_1323	not available	Homo Sapiens	Brain	Brain	74Y	Elderly	Female	Japanese	Glioblastoma	not available	cell	KALS1	curated
KARPAS-299	Karpas-299	CVCL_1324	KARPAS-299 cell	Homo Sapiens	Blood	Peripheral blood	25Y	Adult	Male	Caucasian	Alk-positive anaplastic large cell lymphoma	not available	cell	KARPAS 299; K299; KARPAS299; KARPAS-299	curated
KARPAS-422	Karpas-422	CVCL_1325	KARPAS-422 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	73Y	Elderly	Female	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	not available	cell	K422; KARPAS 422; KARPAS-422; KARPAS422	curated
KARPAS-45	Karpas-45	CVCL_1326	not available	Homo Sapiens	Bone Marrow	Bone marrow	2Y	Infant	Male	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	KARPAS 45; K45; LINE 45; T-45; KARPAS45; KARPAS-45; T45	curated
KE-37	KE-37	CVCL_1327	KE-37 cell	Homo Sapiens	Haematopoietic and Lymphoid	not available	27Y	Adult	Male	Caucasian	Adult t acute lymphoblastic leukemia	not available	cell	KE37; KE 37 CELL; KE37 CELL; KE 37	curated
KINGS-1	KINGS-1	CVCL_1328	not available	Homo Sapiens	Brain	Brain	67Y	Elderly	Male	Japanese	Anaplastic astrocytoma	not available	cell	KINGS1; KINGS-1	curated
KLE	KLE	CVCL_1329	KLE cell	Homo Sapiens	Endometrium	Endometrium	64Y	Adult	Female	Caucasian	Endometrial adenocarcinoma	not available	cell	KLE	curated
KM-H2	KM-H2	CVCL_1330	KM-H2 cell	Homo Sapiens	Pleural Effusion	Pleural effusion	37Y	Adult	Male	Japanese	Hodgkins lymphoma	not available	cell	KMH2 CELL; KM H-2; KMH2	curated
KM12	KM12	CVCL_1331	KM-12 cell	Homo Sapiens	Colon	Colon	not available	not available	not available	Caucasian	Colon carcinoma	not available	cell	KM-12; KM.12; KM12 CELL	curated
KMOE-2	KMOE-2	CVCL_1332	not available	Homo Sapiens	Blood	Peripheral blood	2Y	Infant	Female	Japanese	Erythroleukemia	not available	cell	KMOE2	curated
KMS-12-PE	KMS-12-PE	CVCL_1333	KMS-12-PE cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	64Y	Adult	Female	Japanese	Plasma cell myeloma	not available	cell	KMS-12PE CELL; KMS 12 PE CELL; KMS-12_PE; KMS12-PE CELL; KMS12PE CELL; KMS-12PE; KMS12-PE; KAWASAKI MEDICAL SCHOOL-12-PLEURAL EFFUSION; KMS12PE; KMS 12 PE	curated
KMS-12-BM	KMS-12-BM	CVCL_1334	KMS-12-BM cell	Homo Sapiens	Bone Marrow	Bone marrow	64Y	Adult	Female	Japanese	Plasma cell myeloma	not available	cell	KMS-12BM CELL; KMS 12 BM; KMS12-BM CELL; KAWASAKI MEDICAL SCHOOL-12-BONE MARROW; KMS 12 BM CELL; KMS-12; KMS12BM; KMS12-BM; KMS12; KMS-12BM	curated
KNS-62	KNS-62	CVCL_1335	not available	Homo Sapiens	Lung	Brain	49Y	Adult	Male	Japanese	Squamous cell lung carcinoma	not available	cell	KNS62	curated
KNS-81-FD	KNS-81-FD	CVCL_1336	not available	Homo Sapiens	Brain	Brain	65Y	Elderly	Male	Japanese	Glioblastoma	not available	cell	KNS81FD; KNS-81FD	curated
KOSC-2	KOSC-2	CVCL_1337	KOSC-2 cell	Homo Sapiens	Mouth	Floor of mouth	51Y	Adult	Male	Japanese	Floor of mouth squamous cell carcinoma	not available	cell	KOSC2CL343; KOBE UNIVERSITY ORAL SQUAMOUS CELL CULTURE-2; KOSC2 CELL; KOSC2; KOSC-2 CL3-43	curated
KP-4	KP-4	CVCL_1338	not available	Homo Sapiens	Pancreas	Ascites	50Y	Adult	Male	Japanese	Pancreatic carcinoma	not available	cell	KP4; KP 4	curated
KP-N-RT-BM-1	KP-N-RT-BM-1	CVCL_1339	not available	Homo Sapiens	Peripheral Nervous System	Bone marrow	1Y2M	not available	Female	Japanese	Adrenal gland neuroblastoma	not available	cell	RT-BM-1; KPNRTBM1; RT-BM; KP-N-RT; RTBM1; KP-N-RT-BM; KYOTO PEDIATRICS-NEUROBLASTOMA-RT-BONE MARROW; KP-N-RTBM; RT-BM 1	curated
KP-N-S19s	KP-N-SI9s	CVCL_1340	not available	Homo Sapiens	Peripheral Nervous System	Lymph node; Left axillary lymph node	5Y	Children	not available	Japanese	Adrenal gland neuroblastoma	not available	cell	KPNSI9S; KP-N-SI9S; SI9S	curated
KP-N-YN	KP-N-YN	CVCL_1341	KP-N-YN cell	Homo Sapiens	Peripheral Nervous System	Pararenal lymph node	2Y	Infant	Male	Japanese	Adrenal gland neuroblastoma	not available	cell	KYOTO PEDIATRICS-NEUROBLASTOMA-YN; KPNYN	curated
KP-N-YS	KP-N-YS	CVCL_1342	not available	Homo Sapiens	Peripheral Nervous System	Bone marrow	4Y	Children	Male	Japanese	Adrenal gland neuroblastoma	not available	cell	KYOTO PEDIATRICS-NEUROBLASTOMA-YS; KPNYS	curated
KS-1	KS-1 [Human glioblastoma]	CVCL_1343	not available	Homo Sapiens	Brain	Brain	45Y	Adult	Female	Japanese	Glioblastoma	not available	cell	KS-1	curated
KU-19-19	KU-19-19	CVCL_1344	not available	Homo Sapiens	Bladder	Urinary bladder	76Y	Elderly	Female	Japanese	Bladder carcinoma	not available	cell	"KU 19-19; KU 19-19, KU19-19; KEIO UNIVERSITY-19-19; KU19-19; KU1919"	curated
KURAMOCHI	Kuramochi	CVCL_1345	not available	Homo Sapiens	Ovary	Ascites	not available	not available	Female	Japanese	High grade ovarian serous adenocarcinoma	not available	cell	KURAMOCHI	curated
KY821	KY821	CVCL_1346	not available	Homo Sapiens	Haematopoietic and Lymphoid	Brain; Meninges	28Y	Adult	Male	Japanese	Acute myeloid leukemia	not available	cell	KY-821	curated
KYSE-140	KYSE-140	CVCL_1347	KYSE-140 cell	Homo Sapiens	Esophagus	Middle intrathoracic oesophagus	54Y	Adult	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE140; KYSE140 CELL; KYSE 140; KYSE-140; KYSE 140 CELL	curated
KYSE-150	KYSE-150	CVCL_1348	KYSE-150 cell	Homo Sapiens	Esophagus	Upper (cervical) oesophagus	49Y	Adult	Female	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE150; KY150; KYSE 150; KYSE 150 CELL	curated
KYSE-180	KYSE-180	CVCL_1349	not available	Homo Sapiens	Esophagus	Middle intrathoracic oesophagus	43Y	Adult	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE180; KY180; KYSE 180	curated
KYSE-270	KYSE-270	CVCL_1350	not available	Homo Sapiens	Esophagus	Middle intrathoracic oesophagus	79Y	Elderly	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	KY-270; KYSE270; KYSE 270	curated
KYSE-30	KYSE-30	CVCL_1351	KYSE-30 cell	Homo Sapiens	Esophagus	Esophagus	64Y	Adult	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE0030; KYSE30 CELL; KYSE30; KYSE-30; KYSE 30	curated
KYSE-410	KYSE-410	CVCL_1352	not available	Homo Sapiens	Esophagus	Cervical oesophagus	51Y	Adult	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE0410; KYSE 410; KYSE410	curated
KYSE-450	KYSE-450	CVCL_1353	not available	Homo Sapiens	Esophagus	Middle intrathoracic oesophagus	59Y	Adult	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE450; KYSE 450	curated
KYSE-510	KYSE-510	CVCL_1354	not available	Homo Sapiens	Esophagus	Cervical oesophagus	67Y	Elderly	Female	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE-510; KYSE 510; KYSE510	curated
KYSE-520	KYSE-520	CVCL_1355	not available	Homo Sapiens	Esophagus	Lower intrathoracic oesophagus	58Y	Adult	Female	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE0520; KYSE520; KYSE 520	curated
KYSE-70	KYSE-70	CVCL_1356	not available	Homo Sapiens	Esophagus	Middle intrathoracic oesophagus	77Y	Elderly	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE70; KYSE 70; KY70	curated
L-363	L-363	CVCL_1357	L-363 cell	Homo Sapiens	Blood	Peripheral blood	36Y	Adult	Female	Caucasian	Plasma cell myeloma	not available	cell	L 363; L363; L363 CELL	curated
KYSE-220	KYSE-220	CVCL_1359	not available	Homo Sapiens	Esophagus	Oesophagus	78Y	Elderly	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE 220; KY-220; KYSE220	curated
KYSE-50	KYSE-50	CVCL_1360	not available	Homo Sapiens	Esophagus	Esophagus	58Y	Adult	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	KYSE50; KYSE 50; KY-50	curated
L-428	L-428	CVCL_1361	L-428 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	37Y	Adult	Female	Caucasian	Hodgkins lymphoma	not available	cell	L428 CELL; L 428; L428	curated
L-540	L-540	CVCL_1362	L-540 cell	Homo Sapiens	Bone Marrow	Bone marrow	20Y	Adult	Female	Caucasian	Hodgkins lymphoma	not available	cell	L 540; L540	curated
LAN-6	LA-N-6	CVCL_1363	not available	Homo Sapiens	Peripheral Nervous System	Bone marrow	6Y	Children	Male	not available	Neuroblastoma	not available	cell	LAN-6; LA-N-6(OAN); LAN6	curated
LB1047-RCC	LB1047-RCC	CVCL_1364	not available	Homo Sapiens	Kidney	Lymph node	not available	not available	Female	Caucasian	Renal cell carcinoma	not available	cell	LB1047; LB1047RCC	curated
LB2241-RCC	LB2241-RCC	CVCL_1365	not available	Homo Sapiens	Kidney	Kidney	not available	not available	Male	Caucasian	Renal cell carcinoma	not available	cell	LB2241RCC	curated
LB2518-MEL	LB2518-MEL	CVCL_1366	not available	Homo Sapiens	Skin	not available	not available	not available	Female	Caucasian	Melanoma	not available	cell	LB2518MEL	curated
LB373-MEL-D	LB373-MEL-D	CVCL_1367	not available	Homo Sapiens	Skin	not available	not available	not available	Female	Caucasian	Melanoma	not available	cell	LB373MELD	curated
LB647-SCLC	LB647-SCLC	CVCL_1368	not available	Homo Sapiens	Lung	not available	not available	not available	Male	Caucasian	Small cell lung carcinoma	not available	cell	LB647SCLC	curated
LB771-HNC	LB771-HNC	CVCL_1369	not available	Homo Sapiens	Head and Neck	not available	not available	not available	Male	Caucasian	Head and neck squamous cell carcinoma	not available	cell	LB771-HNSCC; LB771HNC; LB771-ORL	curated
LB831-BLC	LB831-BLC	CVCL_1370	not available	Homo Sapiens	Bladder	Urinary bladder	65Y	Elderly	Male	Caucasian	Bladder carcinoma	not available	cell	LB831BLC; LB831	curated
LB996-RCC	LB996-RCC	CVCL_1371	not available	Homo Sapiens	Kidney	Kidney	not available	not available	Male	Caucasian	Renal cell carcinoma	not available	cell	LOBE; LB996; LB996RCC	curated
LC-1F	LC-1F	CVCL_1372	not available	Homo Sapiens	Lung	Lung	69Y	Elderly	Male	Japanese	Squamous cell lung carcinoma	not available	cell	"LUNG CANCER-1/SQUAMOUS, FLOATING VARIANT; LC1F"	curated
LC-2-ad	LC-2/ad	CVCL_1373	LC-2/ad cell	Homo Sapiens	Lung	Pleural effusion	51Y	Adult	Female	Japanese	Lung adenocarcinoma	not available	cell	LC-2-AD CELL; LC2/AD; LC2/AD CELL; LC-2 AD; LC-2-AD; LC2AD	curated
LC4-1	LC4-1	CVCL_1374	LC4-1 cell	Homo Sapiens	Blood	Peripheral blood	13Y	Juvenile	Female	Japanese	B-cell childhood acute lymphoblastic leukemia	not available	cell	LC41	curated
LCLC-103H	LCLC-103H	CVCL_1375	not available	Homo Sapiens	Lung	Pleural effusion	61Y	Adult	Male	Caucasian	Lung large cell carcinoma	not available	cell	LCLC103H; LARGE CELL LUNG CANCER-103H	curated
LCLC-97TM1	LCLC-97TM1	CVCL_1376	not available	Homo Sapiens	Lung	Lung	44Y	Adult	Male	Caucasian	Lung large cell carcinoma	not available	cell	LARGE CELL LUNG CANCER-97TM1; LCLC97TM1	curated
LK-2	LK-2	CVCL_1377	not available	Homo Sapiens	Lung	Lung	74Y	Elderly	Male	Japanese	Squamous cell lung carcinoma	not available	cell	LK 2; LK2	curated
LN-405	LN-405	CVCL_1378	not available	Homo Sapiens	Brain	not available	62Y	Adult	Female	Caucasian	Glioblastoma	not available	cell	LN405; LN 405	curated
LNCaP-Clone-FGC	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	Homo Sapiens	Prostate	Left supraclavicular lymph node	50Y	Adult	Male	Caucasian	Prostate carcinoma	not available	cell	LNCAP.FGC; LNCAP-ATCC; LNCAPCLONEFGC; LNCAP-FGC; LNCAP FGC; LNCAP FAST GROWING COLONY; LNCAP-CLONE-FGC	curated
LOUCY	Loucy	CVCL_1380	not available	Homo Sapiens	Blood	Peripheral blood	38Y	Adult	Female	Caucasian	Adult t acute lymphoblastic leukemia	T cell	cell	LOUCY	curated
LOXIMVI	LOX-IMVI	CVCL_1381	LOX-IMVI cell	Homo Sapiens	Skin	Axillary lymph node	58Y	Adult	Male	Caucasian	Amelanotic melanoma	not available	cell	LOX IMVI; LOX CELL; LOXIMVI CELL; LOXIMVI; LOX IMVI CELL; LOX; LOX/IMVI; LOXIM-VI	curated
LS1034	LS1034	CVCL_1382	not available	Homo Sapiens	Large Intestine	Cecum	54Y	Adult	Male	Caucasian	Cecum adenocarcinoma	not available	cell	LS 1034; LS-1034	curated
LS-123	LS123	CVCL_1383	not available	Homo Sapiens	Colon	Colon	65Y	Elderly	Female	Caucasian	Colon adenocarcinoma	not available	cell	LS123; LS-123; LABORATORY OF SURGERY 123; LS 123	curated
LS-174T	LS174T	CVCL_1384	LS-174T cell	Homo Sapiens	Colon	Colon	58Y	Adult	Female	Caucasian	Colon adenocarcinoma	colon epithelial cell	cell	LS174; LABORATORY OF SURGERY 174T; LS174T CELL; LS-174; LS-174T; LS 174 T; LS-174-T; LS 174T; LS 174T CELL; LS174T	curated
LS-411N	LS411N	CVCL_1385	not available	Homo Sapiens	Large Intestine	Cecum	32Y	Adult	Male	Caucasian	Cecum adenocarcinoma	not available	cell	LS-411N; LS 411; LS-411; LS411	curated
LS-513	LS513	CVCL_1386	not available	Homo Sapiens	Large Intestine	Ileocecal valve; Cecum; Intestine	63Y	Adult	Male	Caucasian	Cecum adenocarcinoma	not available	cell	LS-513; LS 513	curated
LU-134-A	Lu-134-A	CVCL_1387	not available	Homo Sapiens	Lung	Lung	80Y	Elderly	Male	Japanese	Small cell lung carcinoma	not available	cell	LU134A; LU-134-A; LU-134A; LU-134-A-H; NCC-C-LU-134-A-H; LU-134; LU134-A-H; LU134AH; LU134; LU-134-AH	curated
LU-134-B	Lu-134-B	CVCL_1388	Lu-134-B cell	Homo Sapiens	Lung	Lung	80Y	Elderly	Male	Japanese	Small cell lung carcinoma	not available	cell	NCC-C-LU-134-B-S; LU134B CELL; LU-134-B; LU-134B; LU134B	curated
LU-135	Lu-135	CVCL_1389	not available	Homo Sapiens	Lung	Lung	69Y	Elderly	Male	Japanese	Small cell lung carcinoma	not available	cell	LU135; LU-135; NCC-C-LU-135	curated
LU-139	Lu-139	CVCL_1390	not available	Homo Sapiens	Lung	Lung	63Y	Adult	Male	Japanese	Small cell lung carcinoma	not available	cell	LU139; NCC-C-LU-139; LU-139	curated
LU-165	Lu-165	CVCL_1391	not available	Homo Sapiens	Lung	Lymph node	50Y	Adult	Male	Indonesian	Small cell lung carcinoma	not available	cell	LU165; LU-165	curated
LU-65	Lu-65	CVCL_1392	not available	Homo Sapiens	Lung	Lung	64Y	Adult	Male	Japanese	Lung giant cell carcinoma	not available	cell	C-LU-65; LU-65M; LU-65; LU65; C-LU65	curated
LU-99A	Lu-99A	CVCL_1393	not available	Homo Sapiens	Lung	Lung	63Y	Adult	Male	Japanese	Lung giant cell carcinoma	not available	cell	LU-99A; LU99A	curated
LXF-289	LXF 289	CVCL_1394	not available	Homo Sapiens	Lung	Lung	63Y	Adult	Male	Caucasian	Lung adenocarcinoma	not available	cell	LXF-289; LXF289; LXF 289L	curated
M14	M14	CVCL_1395	M14 melanoma cell	Homo Sapiens	Skin	Hypodermis; Right buttock	33Y	Adult	Male	Caucasian	Amelanotic melanoma	not available	cell	UCLA SO M14 CELL; M-14; UCLASO-M14; M-14 CELL; M-14 MELANOMA CELL; UCLA-SO-M14; M14-MEL CELL; UCLA-SO-M14 CELL; MELANOMA 14; M14-MEL; M14 CELL; UCLA-SO-14; MELANOMA 14 CELL; UCLA SO M14	curated
MC-1010	MC-1010	CVCL_1396	not available	Homo Sapiens	Haematopoietic and Lymphoid	not available	not available	not available	not available	Caucasian	Acute myeloid leukemia	not available	cell	MC1010	curated
MC-CAR	MC/CAR	CVCL_1397	not available	Homo Sapiens	Blood	Peripheral blood	81Y	Elderly	Male	Caucasian	Non-cancerous	not available	cell	MCCAR; MC-CAR	curated
MC-IXC	SK-N-MC-IXC	CVCL_1398	SK-N-MC-IXC cell	Homo Sapiens	Bone	Supra-orbital area	14Y	Juvenile	Female	Caucasian	Ewing sarcoma	not available	cell	SK-N-MC-IXC; MCIXC; MC-IXC; MC-IXC CELL	curated
MC116	MC116	CVCL_1399	not available	Homo Sapiens	Haematopoietic and Lymphoid	Ascites; Pleural effusion	not available	not available	Male	Caucasian	B-cell non-hodgkin lymphoma	not available	cell	MC 116; MC-116	curated
MDA-MB-175-VII	MDA-MB-175-VII	CVCL_1400	MDA-MB-175-VII cell	Homo Sapiens	Breast	Pleural effusion	56Y	Adult	Female	African American	Invasive breast carcinoma	not available	cell	MDA-MB-175VII; MDA MB 175 VII; MDA175; MD ANDERSON-METASTATIC BREAST-175-VII; MDA-MB-175; MDA-175; MDAMB175VII; MDAMB175	curated
ME-180	ME-180	CVCL_1401	not available	Homo Sapiens	Cervix	Omentum	66Y	Elderly	Female	Caucasian	Human papillomavirus-related squamous cell carcinoma	not available	cell	ME180; ME 180; ME-180	curated
MEL-HO	Mel Ho	CVCL_1402	MEL-HO cell	Homo Sapiens	Skin	Skin	not available	not available	Female	Caucasian	Melanoma	not available	cell	MEL-HO; HO; MELHO; MEL HO	curated
MEL-JUSO	Mel JuSo	CVCL_1403	MEL-JUSO cell	Homo Sapiens	Skin	Skin	58Y	Adult	Female	Caucasian	Cutaneous melanoma	not available	cell	MELJUSO CELL; MELJUSO; MEL JUSO; JUSO; MEL-JUSO	curated
